,Sub Div Code,Dtr No,DTR Name,Feeder No,Latitude,Longitude,Total Capacity_kVA,Load,Value
205,133,629,629-LATHIMARA-100-KVA,8,24.8791514,92.5452838,100.0,111.31,-1
206,133,631,631-KATHIGORHA-16-KVA,8,24.9000817,92.5736367,16.0,24.73,-1
207,133,632,632-talitakar-63-kva,8,24.8835946,92.5251355,63.0,157.25,-1
208,133,634,634-CHANDINAGAR-16--KVA,8,24.9244727,92.4971552,16.0,11.69,1
209,133,635,635-JOGODISHPUR-16-KVA,8,24.9099724,92.5599661,16.0,21.22,-1
210,133,637,637-CHANDINAGAR-1-16-KVA,8,24.9284735,92.5002039,16.0,7.59,1
211,133,640,640-HARINAGAR-63-KVA,8,24.8929134,92.4987646,63.0,45.03,1
212,133,642,642-HORINAGAR II,8,24.8816267,92.5028967,63.0,13.26,1
213,133,646,646-HARINAGAR II,8,24.88314,92.5033848,100.0,35.38,1
214,133,1003,Chandpur-I (Nokyary) (Near PHE),7,24.8881058,92.6517365,25.0,48.39,-1
215,133,1005,Chandpur-I ( Near Masjid),7,24.8866357,92.656414,25.0,24.82,1
216,133,1009,1009- Dudhpur Lamargram (Dindayal),7,24.8805672,92.6561599,25.0,55.21,-1
217,133,1010,1010-Lakhipur-III (Dindayal) DT-1,6,24.9022079,92.6348132,25.0,16.23,1
218,133,1014,1014-Khelma III (Dindayal),2,24.9632297,92.5064162,63.0,22.56,1
219,133,1015,1015-Sarajpur (Daspara) (Dindayal),2,24.9656625,92.4871535,63.0,35.87,1
220,133,1016,1016-Paikan (Ujangram) (Dindayal),5,24.983425,92.5234193,25.0,11.76,1
221,133,1017,1017- Craigpark Mikir Punjee (Shivtilla) (Dindayal),5,25.0056752,92.5290112,25.0,11.78,1
222,133,1025,1025-Saidpur II (Kalibari) (Dindayal),8,24.9330799,92.4918628,25.0,13.68,1
223,133,1028,1028- Baraitoli Pt IV (Dindayal) DT-1,2,24.92543,92.5728383,100.0,2.49,1
224,133,1029,1029- Baraitoli Pt IV (Dindayal) DT-2,2,24.9230216,92.5676126,25.0,12.0,1
225,133,1032,1032- Mahadevpur (Talkargrant) (Dindayal),2,24.9889745,92.4697754,25.0,9.82,1
226,133,1033,1033- Mahanpur (Near Samsul House) DT- 2,6,24.9120345,92.6110038,25.0,33.89,-1
227,133,1034,1034-Bhairabpur II (16 kva),2,24.9371434,92.5374317,16.0,28.47,-1
228,133,1037,1037- Sewti Pt IV (Dindayal),9,24.9076933,92.6451983,63.0,23.58,1
229,133,1038,1038- Bhairabpr I (Near M E School) (SOUBHAGYA),2,24.9555573,92.5450503,100.0,14.12,1
230,133,1042,1042- Dudpur II (SANJOG),7,24.8600232,92.6782089,25.0,7.35,1
231,133,1045,1045- Sraspur (SANJOG),2,24.9638836,92.4855904,25.0,40.519999999999996,-1
232,133,1047,1047- Lahamali (SANJOG) 25,8,24.8852686,92.5550845,25.0,58.42,-1
233,133,1048,1048- Mahadevpur III,2,24.9576767,92.4696317,25.0,25.48,-1
234,133,1049,1049- Bhangarpar III & IV,9,24.91478,92.660075,25.0,22.58,1
235,133,1057,1057- Buribail III,7,24.870244,92.723572,25.0,23.86,1
236,133,1059,1059- Khelma II (SANJOG),2,24.9638576,92.4897577,25.0,12.29,1
237,133,2009,Lakhipur III (Near Manipuri Mandir),6,24.9432283,92.5897883,25.0,25.68,-1
238,133,2010,Lakhipur II (Near Gas Agency),6,24.9518193,92.5868498,25.0,12.6,1
239,133,2013,Barailtoli (Hilarkandi) (Near Itt Bhatta),6,24.9480118,92.5799013,63.0,21.0,1
240,133,2014,Mohanpur II (Near ONGC),6,24.8912615,92.5928227,25.0,8.33,1
241,133,2015,Mohanpur II (Khanjalla),6,24.8947567,92.586095,25.0,55.17,-1
242,133,2016,Khelma-IV(DDUGJY),2,24.9217317,92.601031,63.0,15.49,1
243,133,2017,Chandpur II (Near Natun LP School),9,24.8890067,92.6663333,25.0,8.43,1
244,133,2034,Tikarbosti(NearIOC)25KVA,201,24.9449015,92.7173748,25.0,27.47,-1
245,133,2039,SONAPUR III(MOROITOL)63KVA,201,24.9321317,92.6898139,63.0,27.81,1
246,133,2041,SonapurPTI(Kunagram)25KVA,201,24.9371133,92.6760321,25.0,38.65,-1
247,133,2042,SunapurPT-i(NearSchool)25KVA,201,24.9368481,92.6729154,25.0,24.51,1
248,133,2045,Sonapur PT I(Dispur) 100 kva,201,24.9338483,92.6674865,100.0,68.78,1
249,133,2068,Bhangarpar IV,9,24.9190483,92.66124,63.0,33.74,1
250,133,2072,Khelma-III(Near Kali Mandir),2,24.9609532,92.5036777,25.0,20.15,1
251,133,2073,Rajpur Talkar grant 2,2,24.9887754,92.4840191,25.0,19.11,1
252,133,2077,HARINAGAR PT II (NEW 25KVA),8,24.890085,92.497935,25.0,13.0,1
253,133,2078,25KVA KATIGORAH PT II NEAR SUKRITIPUR STATION,8,24.8978267,92.5732533,25.0,9.9,1
254,133,2079,Bhairabpur Pt II New 16 kVA,2,24.9331093,92.5384153,16.0,15.0,1
255,133,2081,BHAIRABPUR-II(SALIMABAD),2,24.9391749,92.532011,16.0,25.0,-1
256,133,2082,HARINAGAR PT II NEAR MASJID 25KVA,8,24.88349,92.4976567,25.0,63.4,-1
257,133,2084,CHANDINAGAR PT II NEAR LP SCHOOL 25,8,24.9218404,92.4947131,25.0,31.36,-1
258,133,2087,NANDIRPAR NEAR BSF CAMP,2,24.9540415,92.4975261,63.0,9.33,1
259,133,2089,KUNAPARAGRANT,5,24.9901817,92.54935,16.0,12.26,1
260,133,2090,Lakhipur PT I (Near Baliuna),6,24.959521,92.5740704,25.0,6.9,1
261,133,2091,Lakhipur PT I (Near Forest Gate),6,24.962372,92.578251,100.0,41.82,1
262,133,2092,LEVERPUTA II,2,24.9554018,92.4854721,16.0,38.01,-1
263,133,2099,LEVERPUTA I,2,24.9460569,92.4629548,63.0,50.06,1
264,133,2103,JAGADISHPUR V,8,24.9026655,92.5598498,25.0,36.74,-1
265,133,2105,LEVERPUTA II,2,24.9482087,92.476852,25.0,11.15,1
266,133,2106,JAGADISHPUR V,8,24.893199,92.5580641,25.0,42.36,-1
267,133,2108,RONGHAR I,9,24.9227016,92.6727785,25.0,17.68,1
268,133,2109,JALALPUR ( DONARPAR ),2,24.9753592,92.4544688,25.0,14.27,1
269,133,2110,JALALPUR ( DONARPAR ),2,24.9768917,92.4521483,63.0,16.72,1
270,133,2111,Natanpur ongc,2,24.9953112,92.4313496,25.0,8.82,1
271,133,2113,DIGABOR GRANT,2,24.9454595,92.5485232,25.0,29.91,-1
272,133,2119,khelma part ii,2,24.963094,92.4865513,25.0,4.49,1
273,133,2120,khelma part ii,2,24.9607826,92.4857204,25.0,4.41,1
274,133,2121,khrelma part ii,2,24.9576266,92.4866441,25.0,14.25,1
275,133,2122,GOALNAGAR,2,24.9591752,92.4823453,25.0,11.78,1
276,133,2138,MAHADEVPUR III,2,24.9622032,92.471702,63.0,27.97,1
277,133,2140,barjatrapur(near public school),9,24.9024318,92.6922736,63.0,33.7,1
278,133,2141,barjatrapur bus stand,9,24.9030752,92.7054417,250.0,79.56,1
279,133,2142,NATANPUR  CHOUMATHA,2,24.9994617,92.4271217,25.0,7.43,1
280,133,2144,GOKULNAGAR,5,25.0098,92.5022417,25.0,13.719999999999999,1
281,133,2185,MOHANPUR-I DDUGJY21,6,24.9100576,92.6016071,25.0,0.99,1
282,133,2210,BIHARA PT V DDUGJY21,9,24.9272683,92.6314067,63.0,2.0,1
283,133,2214,NIZ FULBARI PT I DDUGJY21,7,24.86611,92.618435,25.0,4.140000000000001,1
284,133,2223,SARASAPUR 1 DDUGJY21,2,24.9809245,92.5015992,25.0,0.49,1
285,133,2246,DUDPUR LAMARGAM,7,24.8758644,92.6528798,25.0,16.96,1
286,133,2255,BOROITOLI NEAR DIGABOR TE,2,24.9444695,92.5571892,16.0,1.0,1
