,Cons No,Dtr No,Category,Load,Latitude,Longitude,d
336,133000030352,54,46,0.67,24.9076087,92.6749383,1
337,133000022261,54,46,1.0,24.9061929,92.6712125,1
338,133000022293,54,46,0.72,24.9058743,92.6739613,1
339,133000022292,54,46,0.62,24.9059087,92.6732557,1
340,133000051866,54,75,1.0,24.9079483,92.67319,1
341,133000029994,54,46,0.67,24.9075976,92.6755593,1
342,133000022295,54,46,1.0,24.9088552,92.6720718,1
343,133000027817,55,46,1.0,24.9284379,92.6503072,1
344,133000027818,55,48,1.0,24.9254332,92.6519672,1
345,133000035647,55,46,1.0,24.9281674,92.6490874,1
346,133000022377,55,46,0.4,24.9270441,92.652669,1
347,133010071001,55,43,0.49,24.9287733,92.6493467,1
348,133000022397,55,46,0.98,24.9281284,92.6499576,1
349,133000022373,55,46,0.5,24.9298567,92.65075,1
350,133000022372,55,46,0.4,24.9283924,92.6535455,1
351,133000022371,55,46,0.98,24.929184,92.6516167,1
352,133000022370,55,46,0.62,24.9256,92.6518291,1
353,133000022369,55,46,0.62,24.9258147,92.6513465,1
354,133000022396,55,46,0.68,24.926491,92.6509154,1
355,133000022398,55,46,0.4,24.9257269,92.6507229,1
356,133000022368,55,46,0.56,24.9298512,92.6507465,1
357,133000022367,55,46,0.68,24.9258147,92.6513465,1
358,133000037013,55,46,1.0,24.9258147,92.6513465,1
359,133000022919,55,46,1.0,24.9295971,92.6470019,1
360,133000022920,55,46,1.0,24.9284745,92.6476226,1
361,133000031101,55,46,0.58,24.9287262,92.6496546,1
362,133000022399,55,46,0.34,24.93009,92.651385,1
363,133000022921,55,46,1.0,24.9254332,92.6519672,1
364,133000022395,55,46,0.34,24.9493584,92.6609681,1
365,133000022393,55,46,0.46,24.9295977,92.65217,1
366,133000022378,55,46,0.52,24.9292167,92.6542383,1
367,133000022379,55,46,2.0,24.9287956,92.6504155,1
368,133000022380,55,46,0.56,24.9286041,92.6524351,1
369,133000022381,55,46,0.98,24.9378279,92.6634514,1
370,133000022382,55,46,1.12,24.9289863,92.6530787,1
371,133000022383,55,46,0.98,24.9285715,92.6499629,1
372,133000022384,55,46,0.96,24.9254332,92.6519672,1
373,133000022386,55,46,0.9,24.9289066,92.6515145,1
374,133000022387,55,46,0.98,24.9310189,92.6504155,1
375,133000022389,55,46,0.62,24.9292434,92.6542138,1
376,133000022390,55,46,0.62,24.9287956,92.6504155,1
377,133000022391,55,46,0.68,24.9278653,92.6515697,1
378,133000022392,55,46,0.5,24.9296716,92.6509441,1
379,133000022385,55,46,0.62,24.9378279,92.6634514,1
380,133010071004,55,43,0.49,24.9284745,92.6476226,1
381,133000022922,55,46,0.34,24.9289653,92.6537336,1
382,133000022924,55,46,0.28,24.9258147,92.6513465,1
383,133000022375,55,46,0.52,24.9270667,92.6526517,1
384,133000022944,55,46,0.28,24.9325559,92.6473123,1
385,133000022376,55,46,0.4,24.92903,92.65302,1
386,133000022945,55,46,0.22,24.9258147,92.6513465,1
387,133000022946,55,46,0.22,24.9300901,92.6513846,1
388,133000022947,55,46,1.0,24.9258147,92.6513465,1
389,133000022943,55,46,1.0,24.9302888,92.6497948,1
