,Dtr No2,Total Load,Sub Div Code,Dtr No,DTR Name,Feeder No,Capacity,Latitude,Longitude,comparison_column
221,420,18.91,133.0,1017,1017- Craigpark Mikir Punjee (Shivtilla) (Dindayal),5.0,25  kVA,25.0056752,92.5290112,False
222,421,6.37,133.0,1025,1025-Saidpur II (Kalibari) (Dindayal),8.0,25  kVA,24.9330799,92.4918628,False
223,425,27.7,133.0,1028,1028- Baraitoli Pt IV (Dindayal) DT-1,2.0,100 kVA,24.92543,92.5728383,False
224,426,8.879999999999999,133.0,1029,1029- Baraitoli Pt IV (Dindayal) DT-2,2.0,25  kVA,24.9230216,92.5676126,False
225,427,12.38,133.0,1032,1032- Mahadevpur (Talkargrant) (Dindayal),2.0,25  kVA,24.9889745,92.4697754,False
226,430,21.09,133.0,1033,1033- Mahanpur (Near Samsul House) DT- 2,6.0,25  kVA,24.9120345,92.6110038,False
227,432,18.18,133.0,1034,1034-Bhairabpur II (16 kva),2.0,16  kVA,24.9371434,92.5374317,False
228,434,15.28,133.0,1037,1037- Sewti Pt IV (Dindayal),9.0,63  kVA,24.9076933,92.6451983,False
229,435,3.58,133.0,1038,1038- Bhairabpr I (Near M E School) (SOUBHAGYA),2.0,100 kVA,24.9555573,92.5450503,False
230,436,0.6,133.0,1042,1042- Dudpur II (SANJOG),7.0,25  kVA,24.8600232,92.6782089,False
231,437,7.08,133.0,1045,1045- Sraspur (SANJOG),2.0,25  kVA,24.9638836,92.4855904,False
232,438,0.84,133.0,1047,1047- Lahamali (SANJOG) 25,8.0,25  kVA,24.8852686,92.5550845,False
233,439,7.5,133.0,1048,1048- Mahadevpur III,2.0,25  kVA,24.9576767,92.4696317,False
234,440,7.86,133.0,1049,1049- Bhangarpar III & IV,9.0,25  kVA,24.91478,92.660075,False
235,441,2.9,133.0,1057,1057- Buribail III,7.0,25  kVA,24.870244,92.723572,False
236,445,4.62,133.0,1059,1059- Khelma II (SANJOG),2.0,25  kVA,24.9638576,92.4897577,False
237,447,41.24,133.0,2009,Lakhipur III (Near Manipuri Mandir),6.0,25  kVA,24.9432283,92.5897883,False
238,448,1.58,133.0,2010,Lakhipur II (Near Gas Agency),6.0,25  kVA,24.9518193,92.5868498,False
239,450,22.81,133.0,2013,Barailtoli (Hilarkandi) (Near Itt Bhatta),6.0,63  kVA,24.9480118,92.5799013,False
240,451,21.74,133.0,2014,Mohanpur II (Near ONGC),6.0,25  kVA,24.8912615,92.5928227,False
241,452,25.27,133.0,2015,Mohanpur II (Khanjalla),6.0,25  kVA,24.8947567,92.586095,False
242,453,12.86,133.0,2016,Khelma-IV(DDUGJY),2.0,63  kVA,24.9217317,92.601031,False
243,454,11.11,133.0,2017,Chandpur II (Near Natun LP School),9.0,25  kVA,24.8890067,92.6663333,False
244,455,13.64,133.0,2034,Tikarbosti(NearIOC)25KVA,201.0,25  kVA,24.9449015,92.7173748,False
245,456,28.53,133.0,2039,SONAPUR III(MOROITOL)63KVA,201.0,63  kVA,24.9321317,92.6898139,False
246,457,7.0,133.0,2041,SonapurPTI(Kunagram)25KVA,201.0,25  kVA,24.9371133,92.6760321,False
247,458,14.18,133.0,2042,SunapurPT-i(NearSchool)25KVA,201.0,25  kVA,24.9368481,92.6729154,False
248,461,11.14,133.0,2045,Sonapur PT I(Dispur) 100 kva,201.0,100 kVA,24.9338483,92.6674865,False
249,462,0.8999999999999999,133.0,2068,Bhangarpar IV,9.0,63  kVA,24.9190483,92.66124,False
250,463,5.36,133.0,2072,Khelma-III(Near Kali Mandir),2.0,25  kVA,24.9609532,92.5036777,False
251,464,15.08,133.0,2073,Rajpur Talkar grant 2,2.0,25  kVA,24.9887754,92.4840191,False
252,465,21.35,133.0,2077,HARINAGAR PT II (NEW 25KVA),8.0,25  kVA,24.890085,92.497935,False
253,466,7.300000000000001,133.0,2078,25KVA KATIGORAH PT II NEAR SUKRITIPUR STATION,8.0,25  kVA,24.8978267,92.5732533,False
254,467,5.2,133.0,2079,Bhairabpur Pt II New 16 kVA,2.0,16  kVA,24.9331093,92.5384153,False
255,468,5.5,133.0,2081,BHAIRABPUR-II(SALIMABAD),2.0,16  kVA,24.9391749,92.532011,False
256,469,5.65,133.0,2082,HARINAGAR PT II NEAR MASJID 25KVA,8.0,25  kVA,24.88349,92.4976567,False
