Sub Div Code,Dtr No,DTR Name,Feeder No,Capacity,Latitude,Longitude
133,455,Mahadevpur Pt-I (Sriguru Nagar)  25 KVA,2,25  kVA,24.9940235,92.4648439
133,457,457-Gobindapur-I (Purba Gobingapur) (Dindayal),6,25  kVA,24.9032183,92.6291663
133,459,459-BORAITALI-IV (DINDAYAL),2,16  kVA,24.9395733,92.56394
133,461,461-TALKARGRANT (DINDAYAL),2,25  kVA,24.9882,92.4782
133,462,462- MANIPUR-I (DINDAYAL),1,25  kVA,24.9542733,92.5999867
133,468,468- Gumra Grant (Gumrah Gaon) (Dindayal),2,25  kVA,25.00333,92.4379412
133,470,Saidpur Pt I(nadirpar)  25KVA,8,63  kVA,24.9535454,92.4977021
133,471,Biswambarpur(Kushiarkul) 25KVA,2,25  kVA,24.9887397,92.4497036
133,501,501-KATIRAIL TE,6,63  kVA,24.8950853,92.5848685
133,503,503-SIDDIPUR,6,63  kVA,24.8791867,92.5889313
133,504,504-KATIRAIL,6,250 kVA,24.9071669,92.5906105
133,505,505-SIDDIPUR,6,250 kVA,24.8799917,92.592355
133,506,506-KATIRAIL,6,250 kVA,24.8813983,92.5869067
133,507,507-NOON NAGAR,6,250 kVA,24.8948477,92.5933483
133,508,508-TIKARPARA,6,250 kVA,24.895545,92.5906833
133,509,509-SIDDESWAR,6,25  kVA,24.9204385,92.6071119
133,512,512-BEHARA VI (TINTIKRI),6,63  kVA,24.9172384,92.6116583
133,513,513-KATIRAIL TE,6,100 kVA,24.9246221,92.5872981
133,514,514-NOONNAGAR,6,25  kVA,24.8898925,92.5946527
133,515,515-KATIRAIL,6,100 kVA,24.956905,92.5836833
133,516,516-MODUA,6,100 kVA,24.956765,92.5836719
133,517,517-NOONNAGAR,6,100 kVA,24.9308471,92.5967586
133,519,519-HILARA-,6,100 kVA,24.9349393,92.595152
133,520,520-CHOUDHURY PARA,6,25  kVA,24.922148,92.6008619
133,521,521-Hilara pamp,6,63  kVA,24.9252267,92.5910217
133,522,522-Bihara-V Kolachoripar,6,25  kVA,24.9103985,92.6333258
133,523,523-CHELLAH,6,63  kVA,24.9054262,92.6318967
133,524,524-LAKHIPUR III,6,250 kVA,24.9470206,92.588204
133,525,525-CHABAGAN,6,250 kVA,24.8790639,92.5832123
133,526,526-BOROITOLI-V SP-44,6,25  kVA,24.9285067,92.5863767
133,527,527-MOHANPUR-I,6,25  kVA,24.9110925,92.6023822
133,529,529-HILARA TE,6,16  kVA,24.9351707,92.5947399
133,530,530-LAKHIPUR-I,6,16  kVA,24.9609735,92.5743585
133,531,531-HILARA PUMP,6,100 kVA,24.9403662,92.5909925
133,601,601-siddeshwar-63-kva,8,63  kVA,24.8770333,92.5772583
133,602,602-kathigorha-63-kva,8,100 kVA,24.8820036,92.5660643
133,603,603-charagibazar-250-kva,8,250 kVA,24.8812017,92.5551839
133,604,604-kathigorha-63-kva,8,63  kVA,24.8851333,92.5567267
133,605,605-KATIGORAH OLD 250,8,250 kVA,24.8776867,92.5687733
133,607,607-JAGADISHPUR 100,8,100 kVA,24.888185,92.5567798
133,609,609-haritakar-16-kva,8,16  kVA,24.8880117,92.5122867
133,610,610-LATHIMARA-100-KVA,8,250 kVA,24.8811583,92.5552333
